,probeID,pvalue
338,221500_s_at,0.000392647
339,205126_at,0.000395611
340,203553_s_at,0.000399695
341,213078_x_at,0.000402112
342,216347_s_at,0.000402724
343,200918_s_at,0.000402931
344,204502_at,0.000407633
345,211821_x_at,0.000407704
346,211367_s_at,0.000408364
347,212552_at,0.000408447
348,200986_at,0.000409317
349,201738_at,0.000409518
350,219574_at,0.000412562
351,218476_at,0.000413611
352,221888_at,0.000415534
353,202317_s_at,0.000416194
354,200838_at,0.00041926
355,202001_s_at,0.00042134
356,214148_at,0.000421697
357,212017_at,0.000421954
358,205017_s_at,0.00042315
359,218058_at,0.000425495
360,216216_at,0.000431234
361,206937_at,0.000431482
362,221962_s_at,0.000435075
363,202513_s_at,0.00043878
364,212329_at,0.000439089
365,214177_s_at,0.000442412
366,203452_at,0.000443202
367,202907_s_at,0.000446664
368,217868_s_at,0.000452905
369,203725_at,0.000453902
370,203802_x_at,0.000456491
371,204425_at,0.000457802
372,207500_at,0.000458133
373,219055_at,0.000459193
374,200676_s_at,0.000461369
375,221944_at,0.0004619
376,218121_at,0.000462265
377,208864_s_at,0.000463488
378,205856_at,0.000464266
379,203206_at,0.000469679
380,203094_at,0.000473474
381,214583_at,0.000474622
382,221849_s_at,0.000474773
383,213296_at,0.000475222
384,215719_x_at,0.000476534
385,207839_s_at,0.000477384
386,208659_at,0.000477609
387,204781_s_at,0.000478611
388,208870_x_at,0.000484322
389,210907_s_at,0.000487164
390,203146_s_at,0.000488795
391,206282_at,0.000490269
392,220750_s_at,0.000495862
393,207845_s_at,0.000496193
394,217799_x_at,0.000501517
395,212957_s_at,0.000501661
396,217844_at,0.000502884
397,210797_s_at,0.000504411
398,219272_at,0.000507346
399,210373_at,0.000510165
400,211081_s_at,0.000514102
401,203613_s_at,0.000519117
402,219423_x_at,0.000519746
403,202348_s_at,0.000519768
404,203616_at,0.000523403
405,AFFX.HUMISGF3A.M97935_5_at,0.000526758
406,203040_s_at,0.000528025
407,203729_at,0.000529893
408,216218_s_at,0.000535199
409,200669_s_at,0.000538601
410,213660_s_at,0.000539279
411,200985_s_at,0.000540016
412,214010_s_at,0.000544758
413,219116_s_at,0.000548763
414,222230_s_at,0.000552967
415,208087_s_at,0.000553509
416,204139_x_at,0.000555031
417,65635_at,0.000556539
418,217741_s_at,0.000556899
419,219452_at,0.000565743
420,213367_at,0.00056917
421,201760_s_at,0.000573139
422,202201_at,0.000573243
423,207714_s_at,0.000574066
424,200790_at,0.000574159
425,200747_s_at,0.000585487
426,215766_at,0.000585529
427,204316_at,0.000586013
428,204711_at,0.000590155
429,213947_s_at,0.00059654
430,221080_s_at,0.000604284
431,217908_s_at,0.00060847
432,206274_s_at,0.000609092
433,218873_at,0.000610981
434,212268_at,0.000612876
435,210729_at,0.000617327
436,201601_x_at,0.000617744
437,217796_s_at,0.000623163
438,203680_at,0.000639391
439,53968_at,0.000651944
440,215260_s_at,0.0006539
441,216381_x_at,0.000655186
442,40472_at,0.000655555
443,211470_s_at,0.000659006
444,219211_at,0.000670101
445,217748_at,0.000674561
446,204533_at,0.000674888
447,203897_at,0.000678464
448,218740_s_at,0.000680165
449,212159_x_at,0.000693872
450,208094_s_at,0.000698957
451,212424_at,0.00070092
452,210847_x_at,0.000701908
453,211612_s_at,0.000701936
454,216925_s_at,0.000710086
455,201967_at,0.000710461
456,203534_at,0.000710625
457,218455_at,0.000710992
458,218338_at,0.000713263
459,217286_s_at,0.000714711
460,217226_s_at,0.000715362
461,203600_s_at,0.000719666
462,200988_s_at,0.00072001
463,203610_s_at,0.000721263
464,218797_s_at,0.000722251
465,203567_s_at,0.000722968
466,217943_s_at,0.000726266
467,219411_at,0.000731304
468,214771_x_at,0.000734221
469,219632_s_at,0.000738359
470,214449_s_at,0.000739147
471,201557_at,0.000740071
472,36030_at,0.000741312
473,214585_s_at,0.00074495
474,213204_at,0.000746103
475,209807_s_at,0.000746684
476,215378_at,0.000746984
477,207273_at,0.000750357
478,201320_at,0.000751422
479,212259_s_at,0.000751749
480,217356_s_at,0.000752954
481,202592_at,0.000757988
482,214022_s_at,0.000758536
483,209380_s_at,0.000767078
484,202806_at,0.000768201
485,219295_s_at,0.000779511
486,214494_s_at,0.000785998
487,201924_at,0.000786254
488,40225_at,0.000788059
489,208626_s_at,0.000793976
490,204372_s_at,0.000793996
491,203701_s_at,0.000796878
492,203419_at,0.000807799
493,219062_s_at,0.000811596
494,209417_s_at,0.00081407
495,208368_s_at,0.000815667
496,218290_at,0.000817647
497,216252_x_at,0.000818271
498,201120_s_at,0.000820224
499,201439_at,0.000823284
500,212015_x_at,0.000823662
